,well,sample_number,depth,strat_unit,strat_unit_Heederik1988,clay_percentage,0-2_micron,2-4_micron,4-8_micron,8-16_micron,16-25_micron,25-35_micron,35-50_micron,50-63_micron,63-75_micron,75-88_micron,88-105_micron,105-125_micron,125-150_micron,150-177_micron,177-210_micron,210-250_micron,250-300_micron,300-354_micron,354-420_micron,420-500_micron,500-600_micron,600-707_micron,707-850_micron,850-1000_micron,1000-1190_micron,1190-1410_micron,1410-1680_micron,1680-2000_micron,clay_fraction,phi_mean,phi_std,median_grain_size_mu,median_grain_size,kh_nitrogen_mDarcy,kv_nitrogen_mDarcy,helium_porosity,grain_density,porosity,kh,permeability_measured,depth_log,GR,RHOB,DRHO,NPHI,kaolinite_fraction,illite_fraction,smectite_fraction,mixed_layer_fraction,chlorite_fraction,note,specific_surface_granular_fraction,ln_grainsize_mean,ln_grainsize_std,log10_grainsize_mean,log10_grainsize_std,median_grainsize
63,AST-02,63,1510.0,NMRFS,Zand van Berg,1.0,1.0,1.5,2.0,1.6,1.0,0.7,1.1,1.1,5.3,15.1,18.7,27.3,11.0,10.5,1.4,0.3,0.1,0.1,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.01,3.46,0.88,115.0,0.00011499999999999999,1220.0,,35.2,2.64,0.35200000000000004,1.2040464259999998e-12,1.2040464259999998e-12,1510.0,50.14817,2.1338209999999997,0.034518,27.599873,0.15,0.5,0.35,,,clay composition estimated,43.72604746863815,-9.309576403922222,0.7739505024986332,-4.043097661080139,0.7739505024986332,0.00012444318328098142
64,AST-02,68,1511.5,NMRFS,Zand van Berg,0.9,0.9,2.3,3.0,2.4,1.3,0.8,0.9,1.6,6.4,16.5,29.4,26.8,2.7,3.5,0.7,0.3,0.2,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009000000000000001,3.65,0.92,69.0,6.9e-05,1210.0,,35.0,2.63,0.35,1.1941771929999999e-12,1.1941771929999999e-12,1511.5,52.380943,2.12114,0.035168,27.353363,0.15,0.5,0.35,,,clay composition estimated,56.30108391998254,-9.453270507540301,0.8592616721407502,-4.105503217363507,0.8592616721407502,0.00010382630913663471
65,AST-02,69,1511.8,NMRFS,Zand van Berg,0.9,0.9,2.7,3.6,3.1,1.6,1.0,1.2,1.5,5.9,14.1,25.7,29.8,3.7,4.1,0.6,0.2,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009000000000000001,3.69,0.98,115.0,0.00011499999999999999,651.0,,33.8,2.65,0.33799999999999997,6.424870683e-13,6.424870683e-13,1511.8,53.8564,2.111427,0.03,27.389542,0.15,0.5,0.35,,,clay composition estimated,62.61165740613346,-9.543001861773929,0.8915764314641432,-4.144473049360875,0.8915764314641432,9.552041840940908e-05
66,AST-02,70,1512.75,NMRFS,Zand van Berg,0.4,0.4,1.2,1.7,1.3,0.7,0.6,0.9,1.3,5.6,14.2,28.3,36.4,3.3,3.2,0.3,0.2,0.1,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.004,3.49,0.78,115.0,0.00011499999999999999,1350.0,,36.6,2.65,0.366,1.332346455e-12,1.332346455e-12,1512.8,58.077934,2.121296,0.035929,27.797321000000004,0.15,0.5,0.35,,,clay composition estimated,40.80070884508802,-9.344895869171879,0.6077249020984719,-4.058436709941838,0.6077249020984719,9.937620439979585e-05
67,AST-02,71,1513.25,NMRFS,Zand van Berg,0.2,0.2,1.0,1.9,2.1,1.4,1.0,1.1,1.3,7.6,17.9,28.2,31.5,2.4,1.8,0.2,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,3.6,0.81,115.0,0.00011499999999999999,713.0,,35.5,2.64,0.355,7.036763129000001e-13,7.036763129000001e-13,1513.3,53.028275,2.210226,0.048803,27.230858,0.15,0.5,0.35,,,clay composition estimated,43.07083040805048,-9.41674454912597,0.637975880498166,-4.0896401951779335,0.637975880498166,9.501976828430325e-05
68,AST-02,72,1513.75,NLLFR,Basaal Zand van Dongen,0.3,0.3,1.4,2.6,2.9,1.9,1.2,1.3,1.4,5.8,15.9,30.1,31.0,2.0,1.7,0.2,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,3.66,0.89,115.0,0.00011499999999999999,1010.0,,35.6,2.64,0.35600000000000004,9.96792533e-13,9.96792533e-13,1513.8,54.188141,2.243093,0.048833999999999995,26.752159000000002,0.15,0.5,0.35,,,clay composition estimated,50.205956160151594,-9.462233737704143,0.8004096814884168,-4.10939589876369,0.8004096814884168,9.687063421348574e-05
69,AST-02,73,1514.25,NLLFR,Basaal Zand van Dongen,0.3,0.3,1.2,2.3,2.5,1.7,1.2,1.3,1.7,7.3,16.3,28.7,31.8,2.0,1.2,0.1,0.1,0.1,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,3.65,0.87,115.0,0.00011499999999999999,871.0,,35.2,2.65,0.35200000000000004,8.596101943000001e-13,8.596101943000001e-13,1514.3,53.394707,2.274233,0.052235000000000004,26.19865,0.15,0.5,0.35,,,clay composition estimated,47.06459187878388,-9.47512802929905,0.6743586042932237,-4.114995818451408,0.6743586042932237,9.271131111312349e-05
70,AST-02,74,1514.72,NLLFR,Basaal Zand van Dongen,0.4,0.4,1.3,2.4,2.4,1.4,0.8,0.9,1.5,8.2,19.2,30.6,28.2,1.4,0.9,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,3.65,0.83,96.0,9.6e-05,716.0,,34.4,2.66,0.344,7.066370828e-13,7.066370828e-13,1514.7,51.592789,2.255985,0.033285,26.372444,0.15,0.5,0.35,,,clay composition estimated,47.7750451777579,-9.448664537397052,0.740354935604516,-4.103502869946482,0.740354935604516,9.272107939594739e-05
71,AST-02,75,1515.25,NLLFR,Basaal Zand van Dongen,18.2,18.2,2.8,7.1,8.6,7.5,5.8,16.7,29.0,3.0,0.2,0.3,0.3,0.1,0.0,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.182,,,56.0,5.6000000000000006e-05,28.5,,30.4,2.67,0.304,2.8127314049999995e-14,2.8127314049999995e-14,1515.3,55.140327,2.287974,0.039887,26.806061,0.15,0.5,0.35,,,clay composition estimated,98.55246539913449,-10.425553659992177,0.7726622441872562,-4.527760425320856,0.7726622441872562,3.832181824559663e-05
72,AST-02,76,1515.75,NLLFR,Basaal Zand van Dongen,11.0,11.0,5.0,8.9,11.4,10.0,8.1,15.7,26.4,2.5,0.2,0.1,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,,,56.0,5.6000000000000006e-05,14.9,,29.7,2.67,0.297,1.4705157169999997e-14,1.4705157169999997e-14,1515.8,48.548515,2.228168,0.041105,27.456260999999998,0.15,0.5,0.35,,,clay composition estimated,129.90692898841635,-10.568671711664228,0.8993664247463165,-4.589915805422771,0.8993664247463165,3.8643860865863006e-05
