,sample,reference,clay_type,porosity,permeability_measured,clay_fraction,kaolinite_fraction,illite_fraction,smectite_fraction,specific_surface_granular_fraction,notes,k_kaolinite,k_illite,k_smectite,k_clay,k_granular,power_mean_exponent,k_calculated
75,76,Vasseur1995,kaolinite,0.27536231884058004,1.78389398572885e-18,1,1,0,0,15,,1.8753218793435373e-18,4.825235632393243e-21,6.386854444463332e-23,1.8753218793435316e-18,6.7315950314864374e-12,0.0,1.8753218793435316e-18
76,77,Vasseur1995,kaolinite,0.31034482758621,3.6289500509684e-18,1,1,0,0,15,,3.452387563648123e-18,8.833401525875588e-21,1.0631102597081538e-22,3.4523875636481283e-18,1.2106222879385496e-11,0.0,3.4523875636481283e-18
77,78,Vasseur1995,kaolinite,0.375,8.78695208970438e-18,1,1,0,0,15,,9.751903505979623e-18,2.4714732812239443e-20,2.529902212537897e-22,9.751903505979586e-18,3.288312737610324e-11,0.0,9.751903505979586e-18
78,79,Vasseur1995,kaolinite,0.46524064171123,3.17023445463812e-17,1,1,0,0,15,,3.728650667108471e-17,9.334017977631512e-20,7.752027866590629e-22,3.7286506671084754e-17,1.2053318017592505e-10,0.0,3.7286506671084754e-17
79,80,Mesri_Olsen_1971,illite,0.4338047140558777,6.736929370555668e-20,1,0,1,0,15,,2.3568795971879986e-17,5.924940648288136e-20,5.285506135131563e-22,5.924940648288152e-20,7.718074953692832e-11,0.0,5.924940648288152e-20
80,81,Mesri_Olsen_1971,illite,0.4441393245397264,9.992700685797494e-20,1,0,1,0,15,,2.7423442864918334e-17,6.884372962400085e-20,5.998072179817457e-22,6.884372962400102e-20,8.940362010770885e-11,0.0,6.884372962400102e-20
81,82,Mesri_Olsen_1971,illite,0.4568850365409578,1.1561419284342035e-19,1,0,1,0,15,,3.3024620871892224e-17,8.276351440044285e-20,7.004921558899951e-22,8.276351440044257e-20,1.0710363454191519e-10,0.0,8.276351440044257e-20
82,83,Mesri_Olsen_1971,illite,0.4697197073282221,1.9733986065105398e-19,1,0,1,0,15,,3.978842039745547e-17,9.954388518893744e-20,8.183976049433436e-22,9.954388518893726e-20,1.28404238653735e-10,0.0,9.954388518893726e-20
83,84,Mesri_Olsen_1971,illite,0.5007662541485153,1.2469471114950302e-19,1,0,1,0,15,,6.232515363756251e-17,1.5528558379743043e-19,1.1904099350906457e-21,1.552855837974303e-19,1.9901179539608443e-10,0.0,1.552855837974303e-19
84,85,Mesri_Olsen_1971,illite,0.5294195780542604,2.1399182904309066e-19,1,0,1,0,15,,9.430707135126197e-17,2.3407764256628854e-19,1.6822222509085357e-21,2.3407764256628854e-19,2.987002192614208e-10,0.0,2.3407764256628854e-19
85,86,Mesri_Olsen_1971,illite,0.5390854655501495,4.180595471370373e-19,1,0,1,0,15,,1.0850278358158255e-16,2.6896592017513246e-19,1.8911562261290498e-21,2.6896592017513304e-19,3.428476050426066e-10,0.0,2.6896592017513304e-19
86,87,Mesri_Olsen_1971,illite,0.5697818314415602,2.7286278755010196e-19,1,0,1,0,15,,1.6993885514571542e-16,4.1952655860406376e-19,2.750513640569196e-21,4.1952655860406496e-19,5.335890480586542e-10,0.0,4.1952655860406496e-19
87,88,Mesri_Olsen_1971,illite,0.5916222313109734,3.8345135839091317e-19,1,0,1,0,15,,2.349249130124047e-16,5.782347398095513e-19,3.60441225701186e-21,5.782347398095506e-19,7.351553420217798e-10,0.0,5.782347398095506e-19
88,89,Mesri_Olsen_1971,illite,0.5996746864852059,8.345667290022481e-19,1,0,1,0,15,,2.6505768350690974e-16,6.516796132933195e-19,3.986519702623229e-21,6.516796132933194e-19,8.286160971654181e-10,0.0,6.516796132933194e-19
89,90,Mesri_Olsen_1971,illite,0.6172831163150333,4.0472981299128936e-19,1,0,1,0,15,,3.4611553042087835e-16,8.488882551020179e-19,4.98133156877733e-21,8.488882551020158e-19,1.080117872729257e-09,0.0,8.488882551020158e-19
90,91,Mesri_Olsen_1971,illite,0.6346643050324715,7.135785905420585e-19,1,0,1,0,15,,4.524920960930486e-16,1.107060766416725e-18,6.230489197638846e-21,1.1070607664167235e-18,1.4104811464712854e-09,0.0,1.1070607664167235e-18
91,92,Mesri_Olsen_1971,illite,0.647063856519198,2.266611082839515e-18,1,0,1,0,15,,5.496300675543763e-16,1.342317438697653e-18,7.328909768884316e-21,1.3423174386976563e-18,1.7125036628372127e-09,0.0,1.3423174386976563e-18
92,93,Mesri_Olsen_1971,illite,0.6581018804648419,7.213280065483883e-19,1,0,1,0,15,,6.552325182465604e-16,1.5976409751557091e-18,8.487208945139554e-21,1.597640975155706e-18,2.0412309472658267e-09,0.0,1.597640975155706e-18
93,94,Mesri_Olsen_1971,illite,0.6653477106810451,9.552088914118088e-19,1,0,1,0,15,,7.364441198844323e-16,1.793731720752123e-18,9.356912337296446e-21,1.7937317207521155e-18,2.294299204328896e-09,0.0,1.7937317207521155e-18
94,95,Mesri_Olsen_1971,illite,0.6813548934781285,1.5363905057603594e-18,1,0,1,0,15,,9.577265362003177e-16,2.327079660121484e-18,1.1651954889254105e-20,2.3270796601214883e-18,2.9849501149554384e-09,0.0,2.3270796601214883e-18
95,96,Mesri_Olsen_1971,illite,0.6890246406577698,4.4761944673617426e-18,1,0,1,0,15,,1.0888854444685709e-15,2.6426519926453436e-18,1.2969941087659957e-20,2.6426519926453355e-18,3.395013497631715e-09,0.0,2.6426519926453355e-18
96,97,Mesri_Olsen_1971,illite,0.7008088998380327,1.6841275155125543e-18,1,0,1,0,15,,1.3308343503505096e-15,3.2238990650746313e-18,1.5335387947091225e-20,3.2238990650746375e-18,4.1526748925628876e-09,0.0,3.2238990650746375e-18
97,98,Mesri_Olsen_1971,illite,0.7081811222887476,2.2062237228015726e-18,1,0,1,0,15,,1.5123023647179066e-15,3.659200402049699e-18,1.706260149344717e-20,3.659200402049713e-18,4.721874430499459e-09,0.0,3.659200402049713e-18
98,99,Mesri_Olsen_1971,illite,0.7146268841540029,3.567781917618573e-18,1,0,1,0,15,,1.6937750684316323e-15,4.094032333970878e-18,1.8755894265355942e-20,4.094032333970887e-18,5.291806723283391e-09,0.0,4.094032333970887e-18
99,100,Mesri_Olsen_1971,illite,0.7227909594254125,1.1627184972344713e-17,1,0,1,0,15,,1.9595815855366663e-15,4.730177492531634e-18,2.118335790853362e-20,4.730177492531646e-18,6.127764429075337e-09,0.0,4.730177492531646e-18
100,101,Mesri_Olsen_1971,illite,0.7333661074368479,3.5822625985785004e-18,1,0,1,0,15,,2.3763202790620423e-15,5.725981521424528e-18,2.4883569117908697e-20,5.7259815214245485e-18,7.440846676677114e-09,0.0,5.7259815214245485e-18
101,102,Mesri_Olsen_1971,illite,0.7480214428709042,4.7952799185508695e-18,1,0,1,0,15,,3.129988237853743e-15,7.522962003233571e-18,3.1318507112943343e-20,7.522962003233594e-18,9.821770805923343e-09,0.0,7.522962003233594e-18
102,103,Mesri_Olsen_1971,illite,0.7496490120470694,7.228885121349331e-18,1,0,1,0,15,,3.2292973429610998e-15,7.759426221752652e-18,3.214600941114919e-20,7.75942622175263e-18,1.0136008025327115e-08,0.0,7.75942622175263e-18
