,depth,GR,RHOB,DRHO,NPHI,DPHI,NPHI_ss,NDPHI_diff,clay_fraction_NDPHI,k_kaolinite,k_illite,k_smectite,k_clay_best,log_mean_gs,log_std_gs,Ss_granular,k_granular_best,power_mean_exponent,k_calculated
237,1637.3,10.804117,2.347363,0.220865,,0.18623815384615366,,,,3.007554609548188e-19,7.869671240674414e-22,1.3855992284192396e-23,4.6696410131068e-22,,,,,0.0,
238,1637.2,10.191214,2.3457060000000003,0.21969299999999997,,0.18725784615384608,,,,3.081332460330869e-19,8.060926488217336e-22,1.413921297189826e-23,4.776965412480545e-22,,,,,0.0,
239,1637.1,9.271502,2.3439509999999997,0.218606,,0.1883378461538464,,,,3.161098961088519e-19,8.267658901445558e-22,1.4444166948585485e-23,4.892821407924374e-22,,,,,0.0,
240,1637.0,9.311888,2.3412029999999997,0.21616,,0.19002892307692337,,,,3.289426028225581e-19,8.600146660069703e-22,1.493212711243375e-23,5.07882834572689e-22,,,,,0.0,
241,1636.9,9.558017999999999,2.338404,0.213883,,0.19175138461538463,,,,3.4245405011551823e-19,8.950091509530499e-22,1.54425126919341e-23,5.274185158817297e-22,,,,,0.0,
242,1636.8,9.336634,2.334076,0.21070300000000003,,0.19441476923076922,,,,3.6425056459754275e-19,9.514353397128995e-22,1.625893862196098e-23,5.588328680002379e-22,,,,,0.0,
243,1636.7,10.250811,2.3250450000000003,0.20458800000000002,,0.19997230769230764,,,,4.1346142086229123e-19,1.0787196117298943e-21,1.8073489757723684e-23,6.2933841531668005e-22,,,,,0.0,
244,1636.6,10.619639999999999,2.316236,0.198796,,0.20539323076923086,,,,4.666833461438846e-19,1.216222126166309e-21,1.999624319498403e-23,7.050042563904824e-22,,,,,0.0,
245,1636.5,9.686186,2.309429,0.194447,,0.20958215384615378,,,,5.116312027541009e-19,1.332235008567802e-21,2.1591899727528564e-23,7.684856698620057e-22,,,,,0.0,
246,1636.4,8.143072,2.303657,0.190904,,0.21313415384615403,,,,5.525383829486646e-19,1.4377370395478773e-21,2.3024056381925744e-23,8.259575788870145e-22,,,,,0.0,
247,1636.3,6.394295,2.300455,0.18926199999999999,,0.21510461538461542,,,,5.763934885579359e-19,1.499227293064827e-21,2.3851088958861973e-23,8.593487985052212e-22,,,,,0.0,
248,1636.2,5.411346,2.299586,0.18899999999999997,,0.21563938461538446,,,,5.830151314188377e-19,1.5162914235266336e-21,2.4079644382147405e-23,8.68602024591209e-22,,,,,0.0,
249,1636.1,6.34479,2.299734,0.189473,,0.21554830769230773,,,,5.818828896365705e-19,1.5133737363629089e-21,2.4040593946849598e-23,8.670202721876918e-22,,,,,0.0,
250,1636.0,9.042156,2.302078,0.191328,,0.21410584615384617,,,,5.641959925569881e-19,1.4677893282171747e-21,2.3428935041123143e-23,8.422863339308453e-22,,,,,0.0,
251,1635.9,10.941507000000001,2.305304,0.192741,,0.21212061538461532,,,,5.405952635156226e-19,1.4069426905652513e-21,2.2607796411491064e-23,8.092066087412299e-22,,,,,0.0,
252,1635.8,12.647669,2.30797,0.193942,,0.21047999999999983,,,,5.217229104269952e-19,1.3582690876081415e-21,2.194691173256147e-23,7.826896494655534e-22,,,,,0.0,
253,1635.7,15.939062,2.31304,0.196709,,0.20736000000000002,,,,4.873561746336541e-19,1.2695920093141947e-21,2.0733143604002876e-23,7.342464671997235e-22,,,,,0.0,
254,1635.6,19.905243,2.320182,0.20105399999999998,,0.2029649230769232,,,,4.421761772447105e-19,1.1529251184884985e-21,1.9115632980615126e-23,6.702331291680864e-22,,,,,0.0,
255,1635.5,25.05378,2.32607,0.20549099999999998,,0.19934153846153835,,,,4.0761210153315675e-19,1.0635979303923247e-21,1.7859758135903595e-23,6.209866342762906e-22,,,,,0.0,
256,1635.4,34.670479,2.33354,0.210488,,0.1947446153846154,,,,3.670283120967369e-19,9.586240248107248e-22,1.636239538464913e-23,5.628277453941042e-22,,,,,0.0,
257,1635.3,43.38678,2.339906,0.21450100000000002,,0.19082707692307696,,,,3.351475148663225e-19,8.760869203610694e-22,1.5166934738697166e-23,5.168603711438784e-22,,,,,0.0,
258,1635.2,48.951225,2.3415939999999997,0.21539899999999998,,0.18978830769230795,,,,3.27090820323264e-19,8.552175549099293e-22,1.4861910395875095e-23,5.0520155704035825e-22,,,,,0.0,
259,1635.1,53.435226,2.342219,0.21506599999999998,,0.18940369230769227,,,,3.2414874184829934e-19,8.475954781830521e-22,1.4750216158509993e-23,5.009396422467154e-22,,,,,0.0,
260,1635.0,55.208626,2.341319,0.213642,,0.18995753846153848,,,,3.2839232138739624e-19,8.585891675482657e-22,1.4911268125399418e-23,5.070861563669129e-22,,,,,0.0,
261,1634.9,54.108253000000005,2.33882,0.21129099999999998,,0.1914953846153845,,,,3.4041730921960403e-19,8.897348408874089e-22,1.536579211208983e-23,5.244767943714635e-22,,,,,0.0,
