depth,GR,RHOB,DRHO,NPHI
1632.8,53.422409,2.346292,0.077013,
1632.7,51.00029,2.348407,0.082876,
1632.6,47.372299,2.352964,0.092341,
1632.5,41.827896,2.355146,0.10327,
1632.4,35.941284,2.352183,0.10763,
1632.3,31.760223,2.340719,0.1078,
1632.2,29.963867,2.32222,0.104304,
1632.1,31.840881,2.307704,0.098366,
1632,37.989708,2.286312,0.088512,
1631.9,46.034531,2.262968,0.078997,
1631.8,48.358803,2.250526,0.073347,
1631.7,49.426651,2.236343,0.067169,
1631.6,48.916603,2.21732,0.060944,
1631.5,46.243019,2.189328,0.052156,
1631.4,42.739334,2.1703,0.048453,
1631.3,37.544754,2.150582,0.048562,
1631.2,32.496132,2.129595,0.052466,
1631.1,29.712372,2.119887,0.055421,
1631,26.135063,2.111314,0.056789,26.804283
1630.9,23.335915,2.108052,0.058758,26.312504
1630.8,24.126419,2.113842,0.060355,26.027233
1630.7,24.419083,2.120728,0.060933,25.784882
1630.6,22.562798,2.126472,0.060203,25.665382
1630.5,22.814156,2.129408,0.05819,25.738548
1630.4,26.96838,2.124916,0.055826,25.892109
1630.3,31.234577,2.117978,0.052824,26.090942
1630.2,30.665428,2.107641,0.049452,26.32571
1630.1,30.075657,2.098874,0.045868,26.42112
1630,30.273762,2.095066,0.044103,26.424084
1629.9,30.255714,2.100191,0.046376,26.310585
1629.8,28.32822,2.114721,0.052367,26.160324
1629.7,26.036625,2.134318,0.058018,25.999691
1629.6,24.987961,2.163549,0.06607,25.808102
1629.5,24.001453,2.19675,0.074767,25.622475
1629.4,23.042843,2.20973,0.076,25.45929
1629.3,22.760796,2.217654,0.075216,25.267708
1629.2,23.222469,2.216309,0.071224,25.095001
1629.1,24.638119,2.203711,0.063817,24.96014
1629,26.395599,2.189476,0.055841,24.823048
1628.9,28.421005,2.174917,0.04663,24.740833
1628.8,30.888081,2.164065,0.038231,24.770744
1628.7,32.747551,2.160334,0.033933,24.924038
1628.6,32.953712,2.159297,0.032556,25.210339
1628.5,32.467552,2.158832,0.032529,25.463108
1628.4,32.172264,2.158074,0.031614,25.525391
1628.3,32.864243,2.158667,0.030606,25.47649
1628.2,36.102875,2.16053,0.030493,25.349651
1628.1,40.716057,2.165901,0.033192,25.255562
1628,44.571297,2.176182,0.038447,25.231834
1627.9,48.080528,2.199129,0.048465,25.298241
1627.8,51.762833,2.225789,0.057817,25.480289
1627.7,54.238136,2.242903,0.060725,25.672024
1627.6,54.939125,2.258143,0.061463,25.939045
1627.5,54.896469,2.26998,0.061923,26.186592
1627.4,54.729927,2.27568,0.062932,26.354885
1627.3,54.888145,2.279124,0.065248,26.529991
1627.2,55.879326,2.289113,0.071054,26.711266
1627.1,57.091095,2.299948,0.076705,26.834106
1627,58.052864,2.307806,0.080176,26.860561
1626.9,58.75943,2.324101,0.091195,26.753334
1626.8,59.292511,2.343757,0.106374,26.559139
1626.7,59.554924,2.363184,0.122027,26.376579
